original_code	code	name	island_code	region_area_id	town	original_name
TM143003501	TM123003501	Círculo Podemos San Javier			m_30_035_4	Murcia - San Javier - Círculo Podemos San Javier
TM143003801	TM123003801	Podemos Las Torres de Cotillas			m_30_038_9	Murcia - Torres de Cotillas, Las - Podemos Las Torres de Cotillas
TM143004101	TM123004101	Círculo Podemos La Unión			m_30_041_3	Murcia - Unión, La - Círculo Podemos La Unión
TM143002701	TM123004301	Podemos Yecla			m_30_043_4	Murcia - Yecla - Podemos Yecla
TM153110	TM133101001	Círculo de Alsasua			m_31_010_9	Navarra - Altsasu/Alsasua - Círculo de Alsasua
TM153116	TM133101601	Círculo de Ansoáin			m_31_016_8	Navarra - Ansoáin/Antsoain - Círculo de Ansoáin
TM1531901	TM133190101	Círculo de Barañáin			m_31_901_9	Navarra - Barañain - Círculo de Barañáin
TM1531902	TM133190201	Círculo de Berrioplano			m_31_902_4	Navarra - Berrioplano/Berriobeiti - Círculo de Berrioplano
TM1531903	TM133190301	Círculo de Berriozar			m_31_903_0	Navarra - Berriozar - Círculo de Berriozar
TM153160	TM133106001	Círculo de Burlada			m_31_060_8	Navarra - Burlada/Burlata - Círculo de Burlada
TM153177	TM133107701	Círculo de Corella			m_31_077_1	Navarra - Corella - Círculo de Corella
TM153186	TM133108601	Círculo de Egüés			m_31_086_3	Navarra - Egüés - Círculo de Egüés
TM1531122	TM133112201	Círculo de Huarte			m_31_122_8	Navarra - Huarte/Uharte - Círculo de Huarte
TC153188	TC133100001	Círculo Comarcal Lizarraldea		36		Navarra - Lizarraldea/Tierra Estella - Círculo Comarcal Lizarraldea
TM153188	TM133108801	Círculo de Noáin			m_31_088_5	Navarra - Noáin (Valle de Elorz)/Noain (Elortzibar) - Círculo de Noáin
TM1531906	TM133190601	Círculo de Orkoien			m_31_906_1	Navarra - Orkoien - Círculo de Orkoien
TM1531201	TM133120101	Círculo de Pamplona			m_31_201_6	Navarra - Pamplona/Iruña - Círculo de Pamplona
TM1531227	TM133122701	Círculo de Tafalla			m_31_227_0	Navarra - Tafalla - Círculo de Tafalla
TM1531232	TM133123201	Círculo de Tudela			m_31_232_5	Navarra - Tudela - Círculo de Tudela
TM1531258	TM133125801	Círculo de Villava			m_31_258_9	Navarra - Villava/Atarrabia - Círculo de Villava
TM1531907	TM133190701	Círculo de Zizur			m_31_907_7	Navarra - Zizur Mayor/Zizur Nagusia - Círculo de Zizur
TM1232009-01	TM103200901	O Barco de Valdeorras			m_32_009_0	Ourense - Barco de Valdeorras, O - O Barco de Valdeorras
TM1232019-01	TM103201901	O Carballiño			m_32_019_8	Ourense - Carballiño, O - O Carballiño
TM1232040-01	TM103204001	Leiro			m_32_040_8	Ourense - Leiro - Leiro
TM1232042-01	TM103204201	Lobios			m_32_042_0	Ourense - Lobios - Lobios
TM1232054-01	TM103205401	Ourense			m_32_054_8	Ourense - Ourense - Ourense
TM1232052-01	TC103200001	Ribeira Sacra		47		Ourense - Ribeira Sacra - Ribeira Sacra
TM1232085-01	TM103208501	Verín			m_32_085_5	Ourense - Verín - Verín
TM073480044	TM063400401	Círculo Podemos Aguilar de Campoo			m_34_004_0	Palencia - Aguilar de Campoo - Círculo Podemos Aguilar de Campoo
TC073412338	TC063400001	Círculo Podemos Canal de Castilla Norte		1		Palencia - Alar, Herrera, Osorno - Círculo Podemos Canal de Castilla Norte
TM073412004	TM063412001	Círculo Podemos Palencia			m_34_120_2	Palencia - Palencia - Círculo Podemos Palencia
TM073402335	TM063402301	Círculo Podemos Venta de Baños			m_34_023_1	Palencia - Venta de Baños - Círculo Podemos Venta de Baños
TM1236003-01	TM103600301	Baiona			m_36_003_1	Pontevedra - Baiona - Baiona
TM1236004-01	TM103600401	Bueu			m_36_004_6	Pontevedra - Bueu - Bueu
TM1236008-01	TM103600801	Cangas			m_36_008_4	Pontevedra - Cangas - Cangas
TM1236009-01	TM103600901	Cañiza, A			m_36_009_7	Pontevedra - Cañiza, A - Cañiza, A
TM1236021-01	TM103602101	Gondomar			m_36_021_6	Pontevedra - Gondomar - Gondomar
TM1236026-01	TM103602601	Marín			m_36_026_8	Pontevedra - Marín - Marín
TM1236029-01	TM103602901	Moaña			m_36_029_3	Pontevedra - Moaña - Moaña
TM1236035-01	TM103603501	Nigran			m_36_035_3	Pontevedra - Nigrán - Nigran
TM1236042-01	TM103604201	Ponteareas			m_36_042_7	Pontevedra - Ponteareas - Ponteareas
TM1236038-01	TM103603801	Pontevedra			m_36_038_8	Pontevedra - Pontevedra - Pontevedra
TM1236039-01	TM103603901	Porriño, o			m_36_039_1	Pontevedra - Porriño, o - Porriño, o
TM1236045-01	TM103604501	Redondela			m_36_045_1	Pontevedra - Redondela - Redondela
TM1236049-01	TM103604901	Salceda de Caselas			m_36_049_9	Pontevedra - Salceda de Caselas - Salceda de Caselas
TM1236050-01	TM103605001	Salvaterra de Miño			m_36_050_2	Pontevedra - Salvaterra de Miño - Salvaterra de Miño
TM1236051-01	TM103605101	Sanxenxo			m_36_051_9	Pontevedra - Sanxenxo - Sanxenxo
TM1236053-01	TM103605301	Soutomaior			m_36_053_0	Pontevedra - Soutomaior - Soutomaior
TM1236054-01	TM103605401	Tomiño			m_36_054_5	Pontevedra - Tomiño - Tomiño
TM1236055-01	TM103605501	Tui			m_36_055_8	Pontevedra - Tui - Tui
TM1236057-01	TM103605701	Círculo Vigo			m_36_057_7	Pontevedra - Vigo - Círculo Vigo
TM1236060-01	TM103606001	Vilagarcia de Arousa			m_36_060_0	Pontevedra - Vilagarcía de Arousa - Vilagarcia de Arousa
TC073704631	TC063700002	Círculo Podemos Béjar y Comarca		11		Salamanca - Béjar - Círculo Podemos Béjar y Comarca
TM073706719	TM063706701	Círculo Podemos Cabrerizos			m_37_067_1	Salamanca - Cabrerizos - Círculo Podemos Cabrerizos
TC073710713	TC063700003	Círculo Podemos Ciudad Rodrigo		19		Salamanca - Ciudad Rodrigo - Círculo Podemos Ciudad Rodrigo
TC073701025	TC063700001	Círculo Podemos Sierra de Francia		28		Salamanca - La Alberca - Círculo Podemos Sierra de Francia
TM073727427	TM063727401	Círculo Podemos Salamanca			m_37_274_5	Salamanca - Salamanca - Círculo Podemos Salamanca
TM073729411	TM063729401	Círculo Podemos Santa Marta de Tormes			m_37_294_1	Salamanca - Santa Marta de Tormes - Círculo Podemos Santa Marta de Tormes
TM0538401	TM173800101	Círculo Podemos Adeje	i_384		m_38_001_2	Santa Cruz de Tenerife - Adeje - Círculo Podemos Adeje
TM0538406	TM173800601	Círculo Podemos Arona	i_384		m_38_006_4	Santa Cruz de Tenerife - Arona - Círculo Podemos Arona
TM0538410	TM173801001	Círculo Podemos Buenavista del Norte	i_384		m_38_010_3	Santa Cruz de Tenerife - Buenavista del Norte - Círculo Podemos Buenavista del Norte
TM0538417	TM173801701	Círculo Podemos Granadilla de Abona	i_384		m_38_017_8	Santa Cruz de Tenerife - Granadilla de Abona - Círculo Podemos Granadilla de Abona
TM0538422	TM173802201	Círculo Podemos Icod de los Vinos	i_384		m_38_022_3	Santa Cruz de Tenerife - Icod de los Vinos - Círculo Podemos Icod de los Vinos
TM0538426	TM173802601	Círculo Podemos La Orotava	i_384		m_38_026_0	Santa Cruz de Tenerife - Orotava, La - Círculo Podemos La Orotava
TM0538428	TM173802801	Círculo Podemos Puerto de la Cruz	i_384		m_38_028_2	Santa Cruz de Tenerife - Puerto de la Cruz - Círculo Podemos Puerto de la Cruz
TM0538431	TM173803101	Círculo Podemos El Realejo	i_384		m_38_031_6	Santa Cruz de Tenerife - Realejos, Los - Círculo Podemos El Realejo
TM0538432	TM173803201	Círculo Podemos El Rosario	i_384		m_38_032_1	Santa Cruz de Tenerife - Rosario, El - Círculo Podemos El Rosario
TM0538423	TM173802301	Círculo Podemos La Laguna	i_384		m_38_023_9	Santa Cruz de Tenerife - San Cristóbal de La Laguna - Círculo Podemos La Laguna
TB0538423	TB173802301	Círculo Podemos Taco	i_384		m_38_023_9	Santa Cruz de Tenerife - San Cristóbal de La Laguna - Círculo Podemos Taco
TM0538435	TM173803501	Círculo Podemos San Miguel de Abona	i_384		m_38_035_5	Santa Cruz de Tenerife - San Miguel de Abona - Círculo Podemos San Miguel de Abona
TM0538438	TM173803801	Círculo Podemos Santa Cruz de Tenerife	i_384		m_38_038_0	Santa Cruz de Tenerife - Santa Cruz de Tenerife - Círculo Podemos Santa Cruz de Tenerife
TM0538442	TM173804201	Círculo Podemos Los Silos	i_384		m_38_042_9	Santa Cruz de Tenerife - Silos, Los - Círculo Podemos Los Silos
TM0538447	TM173804301	Ciruclo Podemos Tacoronte	i_384		m_38_043_5	Santa Cruz de Tenerife - Tacoronte - Ciruclo Podemos Tacoronte
TM0538446	TM173804601	Círculo Podemos Tegueste	i_384		m_38_046_6	Santa Cruz de Tenerife - Tegueste - Círculo Podemos Tegueste
TC0538248	TC173800001	Círculo Podemos Valverde-Frontera-El Pinar	i_382	55		Santa Cruz de Tenerife - Valverde-Frontera-El Pinar - Círculo Podemos Valverde-Frontera-El Pinar
TM074004026	TM064004001	Círculo Podemos Cantalejo			m_40_040_4	Segovia - Cantalejo - Círculo Podemos Cantalejo
TM074007618	TM064007601	Círculo Podemos El Espinar			m_40_076_6	Segovia - Espinar, El - Círculo Podemos El Espinar
TM074017003	TM064017001	Círculo Podemos Riaza			m_40_170_6	Segovia - Riaza - Círculo Podemos Riaza
TM074019430	TM064019401	Círculo Podemos Segovia			m_40_194_5	Segovia - Segovia - Círculo Podemos Segovia
TM014100401	TM014100401	Alcalá de Guadaíra			m_41_004_2	Sevilla - Alcalá de Guadaíra - Alcalá de Guadaíra
TM014100501	TM014100501	Alcalá del Río			m_41_005_5	Sevilla - Alcalá del Río - Alcalá del Río
TM014100701	TM014100701	La Algaba			m_41_007_4	Sevilla - Algaba, La - La Algaba
TM014101001	TM014101001	Almensilla			m_41_010_7	Sevilla - Almensilla - Almensilla
TM014101701	TM014101701	Bormujos			m_41_017_2	Sevilla - Bormujos - Bormujos
TM014101801	TM014101801	Brenes			m_41_018_8	Sevilla - Brenes - Brenes
TM014102001	TM014102001	Las Cabezas de San Juan			m_41_020_5	Sevilla - Cabezas de San Juan, Las - Las Cabezas de San Juan
TM014102101	TM014102101	Camas			m_41_021_2	Sevilla - Camas - Camas
TM014102401	TM014102401	Carmona			m_41_024_8	Sevilla - Carmona - Carmona
TM014102801	TM014102801	Castilleja de Guzmán			m_41_028_6	Sevilla - Castilleja de Guzmán - Castilleja de Guzmán
TM014102901	TM014102901	Castilleja de la Cuesta			m_41_029_9	Sevilla - Castilleja de la Cuesta - Castilleja de la Cuesta
TM014103401	TM014103401	Coria del Río			m_41_034_6	Sevilla - Coria del Río - Coria del Río
TB014103802	TB014103802	Cantalgallo			m_41_038_4	Sevilla - Dos Hermanas - Cantalgallo
TB014103801	TB014103801	Centro			m_41_038_4	Sevilla - Dos Hermanas - Centro
TB014103806	TB014103806	La Moneda			m_41_038_4	Sevilla - Dos Hermanas - La Moneda
TB014103805	TB014103805	Las Portadas La Motilla			m_41_038_4	Sevilla - Dos Hermanas - Las Portadas La Motilla
TB014103804	TB014103804	Montequinto			m_41_038_4	Sevilla - Dos Hermanas - Montequinto
TB014103803	TB014103803	Sur			m_41_038_4	Sevilla - Dos Hermanas - Sur
TB014103807	TB014103807	Vistazul			m_41_038_4	Sevilla - Dos Hermanas - Vistazul
TM014103901	TM014103901	Écija			m_41_039_7	Sevilla - Écija - Écija
TM014104001	TM014104001	Espartinas			m_41_040_1	Sevilla - Espartinas - Espartinas
TM014104101	TM014104101	Estepa			m_41_041_8	Sevilla - Estepa - Estepa
TM014104401	TM014104401	Gelves			m_41_044_4	Sevilla - Gelves - Gelves
TM014104501	TM014104501	Gerena			m_41_045_7	Sevilla - Gerena - Gerena
TM014104701	TM014104701	Gines			m_41_047_6	Sevilla - Gines - Gines
TM014104901	TM014104901	Guillena			m_41_049_5	Sevilla - Guillena - Guillena
TM014105801	TM014105801	Mairena del Alcor			m_41_058_9	Sevilla - Mairena del Alcor - Mairena del Alcor
TM014105901	TM014105901	Mairena del Aljarafe			m_41_059_2	Sevilla - Mairena del Aljarafe - Mairena del Aljarafe
TM014106001	TM014106001	Marchena			m_41_060_6	Sevilla - Marchena - Marchena
TM014106501	TM014106501	Morón de la Frontera			m_41_065_2	Sevilla - Morón de la Frontera - Morón de la Frontera
TM014106701	TM014106701	Olivares			m_41_067_1	Sevilla - Olivares - Olivares
TM014106801	TM014106801	Osuna			m_41_068_7	Sevilla - Osuna - Osuna
TM014106901	TM014106901	Los Palacios y Villafranca			m_41_069_0	Sevilla - Palacios y Villafranca, Los - Los Palacios y Villafranca
TM014107001	TM014107001	Palomares del Río			m_41_070_4	Sevilla - Palomares del Río - Palomares del Río
TM014107201	TM014107201	Pedrera			m_41_072_6	Sevilla - Pedrera - Pedrera
TM014107701	TM014107701	La Puebla de Cazalla			m_41_077_9	Sevilla - Puebla de Cazalla, La - La Puebla de Cazalla
TM014107901	TM014107901	La Puebla del Río			m_41_079_8	Sevilla - Puebla del Río, La - La Puebla del Río
TM014108101	TM014108101	La Rinconada			m_41_081_9	Sevilla - Rinconada, La - La Rinconada
TM014108501	TM014108501	Salteras			m_41_085_8	Sevilla - Salteras - Salteras
TM014108601	TM014108601	San Juan de Aznalfarache			m_41_086_1	Sevilla - San Juan de Aznalfarache - San Juan de Aznalfarache
TB014109103	TB014109103	Bellavista			m_41_091_7	Sevilla - Sevilla - Bellavista
TB014109102	TB014109102	Bermejales			m_41_091_7	Sevilla - Sevilla - Bermejales
TB014109111	TB014109111	Casco Antiguo			m_41_091_7	Sevilla - Sevilla - Casco Antiguo
TB014109104	TB014109104	Cerro-Amate			m_41_091_7	Sevilla - Sevilla - Cerro-Amate
TB014109109	TB014109109	Distrito Norte			m_41_091_7	Sevilla - Sevilla - Distrito Norte
TB014109108	TB014109108	Distrito Sur			m_41_091_7	Sevilla - Sevilla - Distrito Sur
TB014109106	TB014109106	Macarena			m_41_091_7	Sevilla - Sevilla - Macarena
TB014109105	TB014109105	Nervión San Pablo-Santa Justa			m_41_091_7	Sevilla - Sevilla - Nervión San Pablo-Santa Justa
TB014109107	TB014109107	Parque Alcosa			m_41_091_7	Sevilla - Sevilla - Parque Alcosa
TB014109112	TB014109112	San Jerónimo			m_41_091_7	Sevilla - Sevilla - San Jerónimo
TB014109101	TB014109101	Sevilla Este			m_41_091_7	Sevilla - Sevilla - Sevilla Este
TB014109110	TB014109110	Triana-Los Remedios			m_41_091_7	Sevilla - Sevilla - Triana-Los Remedios
TM014109301	TM014109301	Tomares			m_41_093_8	Sevilla - Tomares - Tomares
TM014109401	TM014109401	Umbrete			m_41_094_3	Sevilla - Umbrete - Umbrete
TM014109501	TM014109501	Utrera			m_41_095_6	Sevilla - Utrera - Utrera
TM014109601	TM014109601	Valencina de la Concepción			m_41_096_9	Sevilla - Valencina de la Concepción - Valencina de la Concepción
TM014110201	TM014110201	El Viso del Alcor			m_41_102_0	Sevilla - Viso del Alcor, El - El Viso del Alcor
TC074211043	TC064200001	Círculo Podemos Moncayo		43		Soria - Olvega-Moncayo - Círculo Podemos Moncayo
TM074217332	TM064217301	Círculo Podemos Soria			m_42_173_6	Soria - Soria - Círculo Podemos Soria
TM094300483	TM074300401	Cercle Podem Alcanar			m_43_004_3	Tarragona - Alcanar - Cercle Podem Alcanar
TM094390447	TM074390401	Cercle Podem L'Aldea			m_43_904_4	Tarragona - Aldea, L' - Cercle Podem L'Aldea
TM094300996	TM074300901	Cercle Podem Alforja			m_43_009_4	Tarragona - Alforja - Cercle Podem Alforja
TC094301292	TC074300001	Cercle Podem Altafulla		3		Tarragona - Altafulla - Cercle Podem Altafulla
TM094301484	TM074301401	Cercle Podem Amposta			m_43_014_1	Tarragona - Amposta - Cercle Podem Amposta
TM094302843	TM074302801	Cercle Podem La Bisbal del Penedès			m_43_028_7	Tarragona - Bisbal del Penedès, La - Cercle Podem La Bisbal del Penedès
TM094303744	TM074303701	Cercle Podem Calafell			m_43_037_9	Tarragona - Calafell - Cercle Podem Calafell
TM094303801	TM074303801	Cercle Podem Cambrils			m_43_038_5	Tarragona - Cambrils - Cercle Podem Cambrils
TM0943051108	TM074305101	Cercle Podem Cunit			m_43_051_6	Tarragona - Cunit - Cercle Podem Cunit
TM094390197	TM074390101	Cercle Podem Deltebre			m_43_901_8	Tarragona - Deltebre - Cercle Podem Deltebre
TM094309281	TM074309201	Cercle Podem Miami Platja - Mont-roig del Camp			m_43_092_3	Tarragona - Mont-roig del Camp - Cercle Podem Miami Platja - Mont-roig del Camp
TM094312346	TM074312301	Cercle Podem Reus			m_43_123_3	Tarragona - Reus - Cercle Podem Reus
TM094312586	TM074312501	Cercle Podem Riba-Roja d'Ebre			m_43_125_1	Tarragona - Riba-Roja d'Ebre - Cercle Podem Riba-Roja d'Ebre
TM0943131109	TM074313101	Cercle Podem Roda de Bera			m_43_131_0	Tarragona - Roda de Berà - Cercle Podem Roda de Bera
TM094390545	TM074390501	Cercle Podem Salou			m_43_905_7	Tarragona - Salou - Cercle Podem Salou
TM094313685	TM074313601	Cercle Podem La Ràpita			m_43_136_2	Tarragona - Sant Carles de la Ràpita - Cercle Podem La Ràpita
TM094314582	TM074314501	Cercle Podem La Selva del Camp			m_43_145_7	Tarragona - Selva del Camp, La - Cercle Podem La Selva del Camp
TB094314808	TB074314802	Cercle Podem Tarragona Barris Ponent			m_43_148_2	Tarragona - Tarragona - Cercle Podem Tarragona Barris Ponent
TB094314802	TB074314801	Cercle Podem Tarragona Centre			m_43_148_2	Tarragona - Tarragona - Cercle Podem Tarragona Centre
TB094314816	TB074314803	Cercle Podem Tarragona Sant Pere I Sant Pau			m_43_148_2	Tarragona - Tarragona - Cercle Podem Tarragona Sant Pere I Sant Pau
TM0943153102	TM074315301	Cercle Podem Torredembarra			m_43_153_6	Tarragona - Torredembarra - Cercle Podem Torredembarra
TM0943155105	TM074315501	Cercle Podem Tortosa			m_43_155_4	Tarragona - Tortosa - Cercle Podem Tortosa
TM0943161101	TM074316101	Cercle Podem Valls			m_43_161_3	Tarragona - Valls - Cercle Podem Valls
TM094316342	TM074316301	Cercle Podem El Vendrell			m_43_163_4	Tarragona - Vendrell, El - Cercle Podem El Vendrell
TM024401301	TM024401301	Alcañiz			m_44_013_1	Teruel - Alcañiz - Alcañiz
TM024402501	TM024402501	Andorra			m_44_025_7	Teruel - Andorra - Andorra
TC024415801	TC024400001	Gúdar-Javalambre		26		Teruel - Gúdar-Javalambre - Gúdar-Javalambre
TM024421601	TM024421601	Teruel			m_44_216_0	Teruel - Teruel - Teruel
TC024405001	TC024422801	Jiloca			m_44_228_0	Teruel - Torremocha de Jiloca - Jiloca
TM084501400	TM054501401	Círculo Podemos Añover de Tajo			m_45_014_9	Toledo - Añover de Tajo - Círculo Podemos Añover de Tajo
TM084502300	TM054502301	Círculo Podemos Burguillos de Toledo			m_45_023_2	Toledo - Burguillos de Toledo - Círculo Podemos Burguillos de Toledo
TM084503400	TM054503401	Círculo Podemos Camuñas			m_45_034_5	Toledo - Camuñas - Círculo Podemos Camuñas
TM084503800	TM054503801	Círculo Podemos Carranque			m_45_038_3	Toledo - Carranque - Círculo Podemos Carranque
TM084504100	TM054504101	Círculo Podemos Casarrubios-Calypo			m_45_041_7	Toledo - Casarrubios del Monte - Círculo Podemos Casarrubios-Calypo
TM084505600	TM054505601	Círculo Podemos Chozas de Canales			m_45_056_6	Toledo - Chozas de Canales - Círculo Podemos Chozas de Canales
TM084506400	TM054506401	Círculo Podemos Esquivias			m_45_064_8	Toledo - Esquivias - Círculo Podemos Esquivias
TM084507100	TM054507101	Círculo Podemos La Guardia			m_45_071_0	Toledo - Guardia, La - Círculo Podemos La Guardia
TM084508100	TM054508101	Círculo Podemos Illescas			m_45_081_8	Toledo - Illescas - Círculo Podemos Illescas
TM084508500	TM054508501	Círculo Podemos Lominchar			m_45_085_7	Toledo - Lominchar - Círculo Podemos Lominchar
TM084509900	TM054509901	Círculo Podemos Méntrida			m_45_099_3	Toledo - Méntrida - Círculo Podemos Méntrida
TM084511900	TM054511901	Círculo Podemos Numancia de la Sagra-Azaña			m_45_119_9	Toledo - Numancia de la Sagra - Círculo Podemos Numancia de la Sagra-Azaña
TM084512100	TM054512101	Círculo Podemos Ocaña			m_45_121_0	Toledo - Ocaña - Círculo Podemos Ocaña
TM084512700	TM054512701	Círculo Podemos Palomeque			m_45_127_8	Toledo - Palomeque - Círculo Podemos Palomeque
TM084514300	TM054514301	Círculo Podemos Quismondo			m_45_143_7	Toledo - Quismondo - Círculo Podemos Quismondo
TM084516100	TM054516101	Círculo Podemos Seseña			m_45_161_1	Toledo - Seseña - Círculo Podemos Seseña
TM084516300	TM054516301	Círculo Podemos Sonseca			m_45_163_2	Toledo - Sonseca - Círculo Podemos Sonseca
TM084516500	TM054516501	Círculo Podemos Talavera de la Reina			m_45_165_0	Toledo - Talavera de la Reina - Círculo Podemos Talavera de la Reina
TM084516800	TM054516801	Círculo Podemos Toledo			m_45_168_5	Toledo - Toledo - Círculo Podemos Toledo
TM084517300	TM054517301	Círculo Podemos Torrijos			m_45_173_0	Toledo - Torrijos - Círculo Podemos Torrijos
TM084517600	TM054517601	Círculo Podemos Ugena			m_45_176_1	Toledo - Ugena - Círculo Podemos Ugena
TM084518300	TM054518301	Círculo Podemos Las Ventas de Retamosa			m_45_183_8	Toledo - Ventas de Retamosa, Las - Círculo Podemos Las Ventas de Retamosa
TM084519900	TM054519901	Círculo Podemos El Viso de San Juan			m_45_199_2	Toledo - Viso de San Juan, El - Círculo Podemos El Viso de San Juan
TM084520500	TM054520501	Círculo Podemos Yuncos			m_45_205_2	Toledo - Yuncos - Círculo Podemos Yuncos
TM1046005	TM084600501	Podem Alaquàs			m_46_005_7	Valencia - Alaquàs - Podem Alaquàs
TM1046006	TM084600601	Podemos Albaida			m_46_006_0	Valencia - Albaida - Podemos Albaida
TM1046007	TM084600701	Podem Albal			m_46_007_6	Valencia - Albal - Podem Albal
TM1046011	TM084601101	Podemos Alberic			m_46_011_6	Valencia - Alberic - Podemos Alberic
TM1046013	TM084601301	Podemos Alboraya			m_46_013_7	Valencia - Alboraya - Podemos Alboraya
TM1046015	TM084601501	Círculo Podemos Alcàsser			m_46_015_5	Valencia - Alcàsser - Círculo Podemos Alcàsser
TM1046021	TM084602101	Círculo Podem Aldaia			m_46_021_4	Valencia - Aldaia - Círculo Podem Aldaia
TM1046022	TM084602201	Podemos Alfafar			m_46_022_9	Valencia - Alfafar - Podemos Alfafar
TM1046029	TM084602901	Podemos Algemesí			m_46_029_1	Valencia - Algemesí - Podemos Algemesí
TM1046031	TM084603101	Círculo Alginet			m_46_031_2	Valencia - Alginet - Círculo Alginet
TM1046032	TM084603201	Podemos Almàssera			m_46_032_7	Valencia - Almàssera - Podemos Almàssera
TM1046035	TM084603501	Círculo Almussafes			m_46_035_1	Valencia - Almussafes - Círculo Almussafes
TM1046017	TM084601701	Círculo Podemos Alzira			m_46_017_4	valencia - Alzira - Círculo Podemos Alzira
TM1046055	TM084605501	Podem Beniarjó			m_46_055_6	Valencia - Beniarjó - Podem Beniarjó
TM1046067	TM084606701	Podem Benissanó			m_46_067_3	Valencia - Benisanó - Podem Benissanó
TM1046070	TM084607001	Podem Bétera			m_46_070_6	Valencia - Bétera - Podem Bétera
TM1046077	TM084607701	Podemos Buñol			m_46_077_1	Valencia - Buñol - Podemos Buñol
TM1046078	TM084607801	Círculo Podemos Burjassot			m_46_078_7	Valencia - Burjassot - Círculo Podemos Burjassot
TM104608301	TM084608301	Círculo Podemos Carcaixent			m_46_083_2	Valencia - Carcaixent - Círculo Podemos Carcaixent
TM1046094	TM084609401	Podemos Catarroja			m_46_094_5	Valencia - Catarroja - Podemos Catarroja
TM1046109	TM084610901	Círculo Podem Cheste			m_46_109_4	Valencia - Cheste - Círculo Podem Cheste
TM104611101	TM084611101	Círculo Podemos Chiva – Xiva			m_46_111_5	Valencia - Chiva - Círculo Podemos Chiva – Xiva
TC1046213	TC084600001	Círculo Comarcal Utiel-Requena		21		Valencia - Comarca Utiel-Requena - Círculo Comarcal Utiel-Requena
TM1046105	TM084610501	Podem Cullera			m_46_105_6	Valencia - Cullera - Podem Cullera
TM1046126	TM084612601	Podem Foios			m_46_126_5	Valencia - Foios - Podem Foios
TM1046131	TM084613101	Círculo Podemos Gandía			m_46_131_1	Valencia - Gandia - Círculo Podemos Gandía
TM1046135	TM084613501	Círculo Podem Godella			m_46_135_0	Valencia - Godella - Círculo Podem Godella
TM1046136	TM084613601	Círculo Podemos Godelleta			m_46_136_3	Valencia - Godelleta - Círculo Podemos Godelleta
TM1046155	TM084615501	Círculo Podemos Llaurí			m_46_155_5	Valencia - Llaurí - Círculo Podemos Llaurí
TM1046147	TM084614701	Podem Lliria			m_46_147_7	Valencia - Llíria - Podem Lliria
TM1046159	TM084615901	Círculo Podemos Manises			m_46_159_3	Valencia - Manises - Círculo Podemos Manises
TM1046163	TM084616301	Podem Massalfasar			m_46_163_5	Valencia - Massalfassar - Podem Massalfasar
TM1046164	TM084616401	Podem Massamagrell			m_46_164_0	Valencia - Massamagrell - Podem Massamagrell
TM1046166	TM084616601	Podemos Meliana			m_46_166_6	Valencia - Meliana - Podemos Meliana
TM1046169	TM084616901	Círculo Podem Mislata			m_46_169_1	Valencia - Mislata - Círculo Podem Mislata
TM1046171	TM084617101	Podem Montcada			m_46_171_2	Valencia - Moncada - Podem Montcada
TM1046177	TM084617701	Podem Museros			m_46_177_0	Valencia - Museros - Podem Museros
TM1046178	TM084617801	Podemos Náquera			m_46_178_6	Valencia - Náquera - Podemos Náquera
TM1046184	TM084618401	Podem Ontinyent			m_46_184_6	Valencia - Ontinyent - Podem Ontinyent
TM1046186	TM084618601	Podemos Paiporta			m_46_186_2	Valencia - Paiporta - Podemos Paiporta
TM1046190	TM084619001	Podemos Paterna			m_46_190_1	Valencia - Paterna - Podemos Paterna
TM1046194	TM084619401	Círculo Podemos Picassent			m_46_194_4	valencia - Picassent - Círculo Podemos Picassent
TM1046202	TM084620201	Círculo La Pobla de Vallbona			m_46_202_1	Valencia - Pobla de Vallbona, La - Círculo La Pobla de Vallbona
TM1046205	TM084620501	Podem Puçol			m_46_205_5	Valencia - Puçol - Podem Puçol
TM1046204	TM084620401	Podem El Puig			m_46_204_2	Valencia - Puig de Santa Maria, el - Podem El Puig
TM1046102	TM084610201	Podemos Quart de Poblet			m_46_102_2	Valencia - Quart de Poblet - Podemos Quart de Poblet
TM1046214	TM084621401	Podem Riba-Roja			m_46_214_0	Valencia - Riba-roja de Túria - Podem Riba-Roja
TM1046216	TM084621601	Podem Rocafort			m_46_216_6	Valencia - Rocafort - Podem Rocafort
TM1046220	TM084622001	Podem Morvedre			m_46_220_5	Valencia - Sagunto/Sagunt - Podem Morvedre
TM1046903	TM084690301	Círculo Podemos San Antonio de Benagéber			m_46_903_0	Valencia - San Antonio de Benagéber - Círculo Podemos San Antonio de Benagéber
TM1046230	TM084623001	Podemos Silla			m_46_230_3	Valencia - Silla - Podemos Silla
TM1046233	TM084623301	Podem Sollana			m_46_233_1	Valencia - Sollana - Podem Sollana
TM1046235	TM084623501	Podem Sueca			m_46_235_9	Valencia - Sueca - Podem Sueca
TM1046237	TM084623701	Podemos Tabernes Blanques			m_46_237_8	Valencia - Tavernes Blanques - Podemos Tabernes Blanques
TM1046244	TM084624401	Círculo Podemos Torrent			m_46_244_4	Valencia - Torrent - Círculo Podemos Torrent
TB104625012	TB084625013	Círculo Podem Malilla			m_46_250_8	Valencia - Valencia - Círculo Podem Malilla
TB104625003	TB084625003	Monteolivete con Podemos			m_46_250_8	Valencia - Valencia - Monteolivete con Podemos
