original_code	code	name	island_code	region_area_id	town	original_name
TM0535222	TM173502201	Círculo Podemos Santa Lucía de Tirajana	i_352		m_35_022_8	Las Palmas - Santa Lucía de Tirajana - Círculo Podemos Santa Lucía de Tirajana
TM053502401	TM173502401	Círculo Podemos Teguise	i_353		m_35_024_9	Las Palmas - Teguise - Círculo Podemos Teguise
TM0535226	TM173502601	Círculo Podemos Telde	i_352		m_35_026_5	Las Palmas - Telde - Círculo Podemos Telde
TM0535227	TM173502701	Círculo Podemos Teror	i_352		m_35_027_1	Las Palmas - Teror - Círculo Podemos Teror
TM0535128	TM173502801	Círculo Podemos Tías	i_353		m_35_028_7	Las Palmas - Tías - Círculo Podemos Tías
TM0535231	TM171403101	Círculo Podemos Valsequillo	i_352		m_35_031_1	Las Palmas - Valsequillo de Gran Canaria - Círculo Podemos Valsequillo
TM053503401	TM173503401	Círculo Podemos Yaiza	i_353		m_35_034_7	Las Palmas - Yaiza - Círculo Podemos Yaiza
TM072401010	TM062401001	Círculo Podemos La Bañeza			m_24_010_7	León - Bañeza, La - Círculo Podemos La Bañeza
TM072403034	TM062403001	Círculo Podemos Cacabelos			m_24_030_3	León - Cacabelos - Círculo Podemos Cacabelos
TM072403823	TM062403801	Círculo Podemos Carracedelo			m_24_038_4	León - Carracedelo - Círculo Podemos Carracedelo
TM072409822	TC062400001	Círculo Podemos La Cepeda		29		León - La Cepeda - Círculo Podemos La Cepeda
TC072420209	TC062400001	Círculo Podemos Laciana		34		León - Laciana - Círculo Podemos Laciana
TM072408908	TM062408901	Círculo Podemos León			m_24_089_6	León - León - Círculo Podemos León
TM072409840	TM062409801	Círculo Podemos Matallana de Torío			m_24_098_1	León - Matallana de Torío - Círculo Podemos Matallana de Torío
TM072409802	TM062409801	Círculo Podemos Ribera del Torío			m_24_098_1	León - Matallana de Torío - Círculo Podemos Ribera del Torío
TM072411537	TM062411501	Círculo Podemos Ponferrada			m_24_115_2	León - Ponferrada - Círculo Podemos Ponferrada
TM072414236	TM062414201	Círculo Podemos San Andrés de Rabanedo			m_24_142_2	León - San Andrés del Rabanedo - Círculo Podemos San Andrés de Rabanedo
TM072416900	TM062416901	Círculo Podemos Toreno			m_24_169_9	León - Toreno - Círculo Podemos Toreno
TM072439139	TM062418901	Círculo Podemos Valverde de la Virgen			m_24_189_5	León - Valverde de la Virgen - Círculo Podemos Valverde de la Virgen
TM072422205	TM062422201	Círculo Podemos Villaquilambre			m_24_222_5	León - Villaquilambre - Círculo Podemos Villaquilambre
TM092512088	TM072512001	Cercle Podem Ciutat de Lleida			m_25_120_7	Lleida - Lleida - Cercle Podem Ciutat de Lleida
TC092513703	TC072500001	Cercle Podem El Pla d'Urgell		44		Lleida - Pla d'Urgell - Cercle Podem El Pla d'Urgell
